1,1,1,0,0,1.000
1,2,1,0,0,1.000
1,3,2,0,0,1.000
1,4,2,0,0,1.000
1,5,3,0,0,1.000
1,6,3,0,0,1.000
1,7,4,0,0,1.000
1,8,4,0,0,1.000
1,9,5,0,0,1.000
1,10,5,0,0,1.000
1,11,6,0,0,1.000
1,12,6,0,0,1.000
1,13,7,0,0,1.000
1,14,7,0,0,1.000
1,15,8,0,0,1.000
1,16,8,0,0,1.000
1,17,9,0,0,1.000
1,18,9,0,0,1.000
2,1,1,0,0,1.000
2,2,1,0,0,1.000
2,3,2,0,0,1.000
2,4,2,0,0,1.000
2,5,3,0,0,1.000
2,6,3,0,0,1.000
2,7,4,0,0,1.000
2,8,4,0,0,1.000
2,9,5,0,0,1.000
2,10,5,0,0,1.000
2,11,6,0,0,1.000
2,12,6,0,0,1.000
2,13,7,0,0,1.000
2,14,7,0,0,1.000
2,15,8,0,0,1.000
2,16,8,0,0,1.000
2,17,9,0,0,1.000
2,18,9,0,0,1.000
3,1,1,0,0,1.000
3,2,1,0,0,0.800
3,3,1,0,0,1.000
3,4,1,0,0,0.800
3,5,2,0,0,1.000
3,6,2,0,0,0.800
3,7,2,0,0,1.000
3,8,2,0,0,0.800
3,9,3,0,0,1.000
3,10,3,0,0,0.800
3,11,3,0,0,1.000
3,12,3,0,0,0.800
3,13,4,0,0,1.000
3,14,4,0,0,0.800
3,15,4,0,0,1.000
3,16,4,0,0,0.800
3,17,5,0,0,1.000
3,18,5,0,0,0.800
3,19,5,0,0,1.000
3,20,5,0,0,0.800
3,21,6,0,0,1.000
3,22,6,0,0,0.800
3,23,6,0,0,1.000
3,24,6,0,0,0.800
3,25,7,0,0,1.000
3,26,7,0,0,0.800
3,27,7,0,0,1.000
3,28,7,0,0,0.800
3,29,8,0,0,1.000
3,30,8,0,0,0.800
3,31,8,0,0,1.000
3,32,8,0,0,0.800
3,33,9,0,0,1.000
3,34,9,0,0,0.800
3,35,9,0,0,1.000
3,36,9,0,0,0.800
4,1,\N,0,0,1.000
4,2,\N,0,0,1.000
4,3,\N,0,0,1.000
4,4,\N,0,0,1.000
4,5,\N,0,0,1.000
4,6,\N,0,0,1.000
4,7,\N,0,0,1.000
4,8,\N,0,0,1.000
4,9,\N,0,0,1.000
4,10,\N,0,0,1.000
4,11,\N,0,0,1.000
4,12,\N,0,0,1.000
4,13,\N,0,0,1.000
